Occupation title (click on the occupation title to view its profile),Annual mean wage
Veterinary Technologists and Technicians,"38,250"
Ophthalmic Medical Technicians,"41,120"
Licensed Practical and Licensed Vocational Nurses,"51,850"
Medical Records Specialists,"48,310"
"Opticians, Dispensing","43,060"
Miscellaneous Health Technologists and Technicians,"51,910"
Orthotists and Prosthetists,"79,820"
Hearing Aid Specialists,"59,960"
"Health Technologists and Technicians, All Other","49,230"
Other Healthcare Practitioners and Technical Occupations,"61,470"
Health Information Technologists and Medical Registrars,"61,410"
Miscellaneous Health Practitioners and Technical Workers,"61,490"
Athletic Trainers,"54,650"
Genetic Counselors,"86,640"
Surgical Assistants,"59,170"
"Healthcare Practitioners and Technical Workers, All Other","64,880"
Healthcare Support Occupations,"33,330"
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides","30,440"
Home Health and Personal Care Aides,"29,260"
"Nursing Assistants, Orderlies, and Psychiatric Aides","33,290"
Nursing Assistants,"33,250"
Orderlies,"33,440"
Psychiatric Aides,"34,640"
Occupational Therapy and Physical Therapist Assistants and Aides,"53,900"
Occupational Therapy Assistants and Aides,"61,760"
Occupational Therapy Assistants,"63,560"
Occupational Therapy Aides,"39,230"
Physical Therapist Assistants and Aides,"51,280"
Physical Therapist Assistants,"60,740"
Physical Therapist Aides,"30,370"
Other Healthcare Support Occupations,"39,360"
Massage Therapists,"49,260"
Miscellaneous Healthcare Support Occupations,"38,860"
Dental Assistants,"42,510"
Medical Assistants,"38,190"
Medical Equipment Preparers,"42,420"
Medical Transcriptionists,"34,220"
Pharmacy Aides,"34,560"
Veterinary Assistants and Laboratory Animal Caretakers,"31,780"
Phlebotomists,"38,450"
"Healthcare Support Workers, All Other","40,690"
Protective Service Occupations,"53,420"
Supervisors of Protective Service Workers,"81,010"
First-Line Supervisors of Law Enforcement Workers,"90,110"
First-Line Supervisors of Correctional Officers,"69,750"
First-Line Supervisors of Police and Detectives,"98,760"
First-Line Supervisors of Firefighting and Prevention Workers,"83,270"
"Miscellaneous First-Line Supervisors, Protective Service Workers","57,730"
First-Line Supervisors of Security Workers,"55,080"
"First-Line Supervisors of Protective Service Workers, All Other","63,910"
Firefighting and Prevention Workers,"55,910"
Firefighters,"55,290"
Fire Inspectors,"67,230"
Fire Inspectors and Investigators,"69,680"
Forest Fire Inspectors and Prevention Specialists,"54,340"
Law Enforcement Workers,"66,370"
